,4.775E+01 days,6.275E+01 days,1.175E+02 days,2.125E+02 days,3.080E+02 days,3.230E+02 days,3.698E+02 days,3.838E+02 days,4.256E+02 days,4.346E+02 days,4.672E+02 days,5.232E+02 days,5.723E+02 days,5.863E+02 days,6.436E+02 days,6.676E+02 days,7.403E+02 days,7.563E+02 days,8.162E+02 days,8.362E+02 days,8.803E+02 days,8.953E+02 days,9.501E+02 days,1.012E+03 days,1.074E+03 days
91101,5.81063E-01,5.82028E-01,1.26788E+00,1.26691E+00,2.10797E+00,2.12441E+00,2.77637E+00,2.77056E+00,3.25922E+00,3.26087E+00,3.88180E+00,3.88367E+00,4.65191E+00,4.65563E+00,5.67036E+00,5.67966E+00,6.87021E+00,6.87103E+00,8.09670E+00,8.10408E+00,9.29748E+00,9.29772E+00,1.06045E+01,1.06121E+01,1.18266E+01
91121,5.16846E-01,5.23727E-01,1.17179E+00,1.17277E+00,1.86012E+00,1.85910E+00,2.46891E+00,2.46893E+00,2.91794E+00,2.91978E+00,3.51934E+00,3.52314E+00,4.35277E+00,4.36800E+00,5.37883E+00,5.37684E+00,6.43071E+00,6.43067E+00,7.74218E+00,7.75291E+00,9.01334E+00,9.01185E+00,1.03360E+01,1.03432E+01,1.17052E+01
91141,5.27097E-01,5.30020E-01,1.24812E+00,1.24718E+00,2.06106E+00,2.06299E+00,2.72769E+00,2.74013E+00,3.22405E+00,3.22973E+00,3.89674E+00,3.88981E+00,4.75792E+00,4.76557E+00,5.75879E+00,5.76140E+00,6.87767E+00,6.88565E+00,8.29870E+00,8.30298E+00,9.57113E+00,9.57379E+00,1.09060E+01,1.09139E+01,1.23299E+01
91161,7.37539E-01,7.45386E-01,1.51901E+00,1.51221E+00,2.56510E+00,2.57854E+00,3.34770E+00,3.34393E+00,3.91508E+00,3.92083E+00,4.65488E+00,4.66048E+00,5.57269E+00,5.57483E+00,6.72006E+00,6.72740E+00,7.91039E+00,7.91244E+00,9.24665E+00,9.26008E+00,1.04564E+01,1.04564E+01,1.18260E+01,1.18313E+01,1.31587E+01
91201,6.04722E-01,6.15520E-01,1.33650E+00,1.33164E+00,2.10394E+00,2.10006E+00,2.80590E+00,2.81934E+00,3.35260E+00,3.36136E+00,3.95988E+00,3.95897E+00,4.79459E+00,4.79922E+00,5.83906E+00,5.84294E+00,6.95433E+00,6.95517E+00,8.14618E+00,8.14660E+00,9.30664E+00,9.31648E+00,1.05368E+01,1.05402E+01,1.17628E+01
91221,5.71355E-01,5.79221E-01,1.19706E+00,1.19412E+00,1.84076E+00,1.84756E+00,2.53106E+00,2.53211E+00,3.02775E+00,3.02681E+00,3.56944E+00,3.56750E+00,4.38198E+00,4.38863E+00,5.42260E+00,5.42914E+00,6.58099E+00,6.58741E+00,7.85710E+00,7.85890E+00,9.09393E+00,9.10266E+00,1.03962E+01,1.04007E+01,1.18301E+01
91241,5.91468E-01,5.94386E-01,1.35539E+00,1.35829E+00,2.10676E+00,2.10969E+00,2.77266E+00,2.77743E+00,3.24798E+00,3.25004E+00,3.86836E+00,3.87213E+00,4.71424E+00,4.71803E+00,5.86652E+00,5.86874E+00,7.02326E+00,7.03053E+00,8.33746E+00,8.34402E+00,9.62057E+00,9.62142E+00,1.09262E+01,1.09299E+01,1.22131E+01
91261,7.31624E-01,7.41436E-01,1.46516E+00,1.46612E+00,2.36792E+00,2.36698E+00,3.18818E+00,3.19198E+00,3.75521E+00,3.75709E+00,4.47670E+00,4.48242E+00,5.44048E+00,5.44608E+00,6.60802E+00,6.60614E+00,7.85098E+00,7.86266E+00,9.29263E+00,9.29291E+00,1.04600E+01,1.04678E+01,1.17115E+01,1.17183E+01,1.30840E+01
91301,3.03794E-01,3.08723E-01,7.72006E-01,7.71057E-01,1.25408E+00,1.25700E+00,1.63113E+00,1.62819E+00,1.95065E+00,1.95646E+00,2.36177E+00,2.35891E+00,2.95423E+00,2.96001E+00,3.71672E+00,3.72347E+00,4.56453E+00,4.56725E+00,5.57648E+00,5.57657E+00,6.63382E+00,6.63469E+00,7.76721E+00,7.78003E+00,9.06809E+00
91321,2.51027E-01,2.55959E-01,5.72657E-01,5.75613E-01,9.53577E-01,9.51622E-01,1.31897E+00,1.31894E+00,1.61082E+00,1.61859E+00,1.98435E+00,1.97953E+00,2.54313E+00,2.54896E+00,3.26878E+00,3.27164E+00,4.06013E+00,4.06387E+00,5.16287E+00,5.16466E+00,6.24610E+00,6.24638E+00,7.54168E+00,7.54805E+00,8.91360E+00
91341,2.64986E-01,2.67945E-01,6.15059E-01,6.16988E-01,9.66778E-01,9.61847E-01,1.35047E+00,1.35534E+00,1.65445E+00,1.65736E+00,2.05115E+00,2.05213E+00,2.60093E+00,2.59425E+00,3.36913E+00,3.38747E+00,4.31662E+00,4.32034E+00,5.33704E+00,5.33050E+00,6.42285E+00,6.43694E+00,7.78134E+00,7.78357E+00,9.22648E+00
91361,4.12436E-01,4.11474E-01,9.05420E-01,9.13259E-01,1.46968E+00,1.46772E+00,1.95640E+00,1.95930E+00,2.32330E+00,2.32713E+00,2.81729E+00,2.81816E+00,3.61140E+00,3.62188E+00,4.50072E+00,4.49978E+00,5.47198E+00,5.47488E+00,6.71751E+00,6.72671E+00,7.85532E+00,7.85223E+00,9.12175E+00,9.12429E+00,1.04025E+01
92101,6.47893E-01,6.45916E-01,1.58545E+00,1.59232E+00,2.46455E+00,2.47139E+00,3.30002E+00,3.30304E+00,3.94017E+00,3.94490E+00,4.75500E+00,4.75318E+00,5.79273E+00,5.80394E+00,7.12593E+00,7.13262E+00,8.58650E+00,8.58495E+00,1.00140E+01,1.00266E+01,1.14973E+01,1.14985E+01,1.28953E+01,1.28992E+01,1.43563E+01
92121,5.29432E-01,5.38365E-01,1.21884E+00,1.22082E+00,2.07526E+00,2.07034E+00,2.78895E+00,2.79577E+00,3.36145E+00,3.36613E+00,4.10886E+00,4.10977E+00,5.18569E+00,5.18466E+00,6.46375E+00,6.47234E+00,7.92861E+00,7.93877E+00,9.58994E+00,9.59717E+00,1.10107E+01,1.10082E+01,1.27253E+01,1.27374E+01,1.41794E+01
92141,6.39932E-01,6.48863E-01,1.34840E+00,1.34052E+00,2.30505E+00,2.31967E+00,3.07997E+00,3.07899E+00,3.64180E+00,3.64552E+00,4.37582E+00,4.38073E+00,5.46672E+00,5.46963E+00,6.75855E+00,6.75762E+00,8.25503E+00,8.26214E+00,9.79037E+00,9.79571E+00,1.13600E+01,1.13720E+01,1.28442E+01,1.28438E+01,1.42341E+01
92161,8.44966E-01,8.52894E-01,1.67434E+00,1.67342E+00,2.78722E+00,2.79881E+00,3.69605E+00,3.69606E+00,4.39019E+00,4.39876E+00,5.21066E+00,5.20877E+00,6.32103E+00,6.32557E+00,7.69643E+00,7.70292E+00,9.26047E+00,9.26231E+00,1.07653E+01,1.07776E+01,1.20891E+01,1.20918E+01,1.35067E+01,1.35103E+01,1.48122E+01
92201,7.00110E-01,7.09997E-01,1.49136E+00,1.48054E+00,2.32113E+00,2.32986E+00,3.22129E+00,3.23013E+00,3.91753E+00,3.92048E+00,4.63351E+00,4.63336E+00,5.63599E+00,5.64047E+00,6.87217E+00,6.88040E+00,8.29040E+00,8.28959E+00,9.93058E+00,9.94207E+00,1.14268E+01,1.14319E+01,1.28751E+01,1.28789E+01,1.42663E+01
92221,6.13575E-01,6.19545E-01,1.34101E+00,1.33705E+00,2.07762E+00,2.09329E+00,2.88760E+00,2.88187E+00,3.53603E+00,3.54063E+00,4.22288E+00,4.22084E+00,5.33677E+00,5.34062E+00,6.51881E+00,6.52836E+00,7.88413E+00,7.88424E+00,9.49031E+00,9.49840E+00,1.10679E+01,1.10768E+01,1.26907E+01,1.26942E+01,1.41983E+01
92241,6.26709E-01,6.34639E-01,1.39756E+00,1.39362E+00,2.23491E+00,2.24076E+00,3.01261E+00,3.01746E+00,3.63247E+00,3.63910E+00,4.27391E+00,4.27686E+00,5.38043E+00,5.37178E+00,6.74827E+00,6.76158E+00,8.17220E+00,8.17313E+00,9.90117E+00,9.91462E+00,1.14475E+01,1.14538E+01,1.30302E+01,1.30329E+01,1.45050E+01
92261,8.23896E-01,8.25894E-01,1.78681E+00,1.79068E+00,2.71531E+00,2.72508E+00,3.69757E+00,3.69552E+00,4.36965E+00,4.37076E+00,5.10908E+00,5.12225E+00,6.31453E+00,6.31386E+00,7.55220E+00,7.56502E+00,8.95075E+00,8.95091E+00,1.06080E+01,1.06080E+01,1.20892E+01,1.20972E+01,1.35722E+01,1.35774E+01,1.49469E+01
