Cycle,Timestep,"Cumulative Timestep","Time Interval(hrs)","NWOSCC(degrees)","SWOSCC(degrees)","NEOSCC(degrees)","SEOSCC(degrees)"
138B,1,1,9,66.64,66.67,66.68,66.66
138B,2,2,24,86.27,85.06,86.36,85.77
138B,3,3,24,94.85,84.93,97.97,92.68
138B,4,4,24,84.08,81.44,85.13,85.01
138B,5,5,24,84.74,82.10,87.74,86.41
138B,6,6,24,84.75,81.84,88.45,86.51
138B,7,7,24,81.84,81.80,83.86,84.41
138B,8,8,24,82.84,81.90,85.30,84.64
138B,9,9,24,80.60,81.96,80.57,82.58
138B,10,10,24,81.66,83.15,80.19,82.19
138B,11,11,24,83.03,82.82,81.96,82.98
138B,12,12,24,83.68,83.42,83.34,82.92
138B,13,13,24,84.98,83.97,84.71,84.06
138B,14,14,24,82.64,83.87,82.73,83.96
138B,15,15,24,81.86,83.85,83.84,83.95
138B,16,16,24,81.98,84.01,85.73,84.60
138B,17,17,24,83.44,85.22,85.50,85.09
138B,18,18,24,84.74,85.78,85.46,85.80
138B,19,19,24,83.44,82.46,85.13,84.54
138B,20,20,24,83.77,81.51,84.65,84.77
138B,21,21,24,84.26,82.40,85.85,85.52
138B,22,22,24,85.86,83.09,87.09,85.30
138B,23,23,24,86.62,83.69,88.65,85.93
138B,24,24,24,83.07,82.78,86.65,86.28
138B,25,25,24,83.53,82.69,83.45,83.98
138B,26,26,24,83.83,83.09,83.32,83.62
138B,27,27,24,84.94,83.61,85.12,84.24
138B,28,28,24,86.35,85.26,85.58,85.52
138B,29,29,24,84.09,83.77,84.11,83.70
138B,30,30,24,80.79,82.18,80.47,81.34
138B,31,31,24,81.88,83.57,81.83,82.53
138B,32,32,24,83.52,85.09,82.80,83.19
138B,33,33,24,84.44,85.96,83.61,83.99
138B,34,34,24,84.35,84.16,83.99,84.75
138B,35,35,24,85.19,83.62,84.39,85.41
138B,36,36,24,86.78,84.53,85.41,85.88
138B,37,37,24,82.86,83.23,82.77,85.00
138B,38,38,24,81.96,82.38,81.07,82.87
138B,39,39,24,83.44,83.91,83.31,84.54
138B,40,40,24,85.04,85.25,84.31,85.30
138B,41,41,24,86.73,86.84,84.49,86.60
138B,42,42,24,86.10,84.58,82.98,86.44
138B,43,43,24,87.21,86.58,84.83,87.84
138B,44,44,24,89.83,88.20,88.45,88.60
138B,45,45,24,90.96,89.57,89.44,89.72
138B,46,46,24,93.67,91.11,92.47,92.32
138B,47,47,24,95.46,92.41,94.21,94.42
138B,48,48,24,97.77,94.33,96.37,95.80
138B,49,49,9,99.03,95.53,98.19,96.94
139A,1,50,8,64.73,64.01,65.53,64.14
139A,2,51,24,81.48,83.14,86.35,80.91
139A,3,52,24,85.42,88.01,88.58,88.73
139A,4,53,24,81.51,85.98,83.30,84.19
139A,5,54,24,80.06,85.47,81.44,82.35
139A,6,55,24,80.67,86.06,82.04,83.17
139A,7,56,24,80.71,87.24,83.47,83.63
139A,8,57,24,79.14,83.92,82.95,81.48
139A,9,58,24,80.41,83.35,84.74,82.05
139A,10,59,24,81.75,84.15,84.89,82.84
139A,11,60,24,82.90,85.23,85.05,83.20
139A,12,61,24,83.23,86.37,85.00,83.52
139A,13,62,24,83.51,86.65,85.55,83.70
139A,14,63,24,84.62,87.24,85.89,84.02
139A,15,64,24,82.68,82.87,84.60,82.44
139A,16,65,24,83.06,82.51,85.00,82.50
139A,17,66,24,83.88,82.51,85.84,82.50
139A,18,67,24,84.90,83.10,87.50,82.60
139A,19,68,24,84.52,83.24,84.37,81.61
139A,20,69,24,83.89,82.82,81.66,80.45
139A,21,70,24,85.26,83.54,84.06,81.00
139A,22,71,24,86.42,84.31,85.32,82.02
139A,23,72,24,29.00,28.45,28.69,27.78
139A,24,73,24,29.00,28.45,28.69,27.78
139A,25,74,24,29.00,28.45,28.69,27.78
139A,26,75,24,71.67,68.81,71.41,69.62
139A,27,76,24,85.48,83.89,85.15,82.91
139A,28,77,24,81.62,83.89,83.59,82.55
139A,29,78,24,80.10,83.25,83.50,82.15
