Cycle,Timestep,"Cumulative Timestep","Time Interval(hrs)","NWLobePower(MW)","NELobePower(MW)","CLobePower(MW)","SWLobePower(MW)","SELobePower(MW)","TotalCorePower(MW)"
138B,1,1,9,1.4611,1.4761,1.8833,2.0861,2.1028,9.0094
138B,2,2,24,4.3281,4.3510,5.0875,6.1204,6.2483,26.1354
138B,3,3,24,17.2033,17.1969,19.4444,21.9544,23.8315,99.6304
138B,4,4,24,17.9902,18.0056,22.1019,23.0196,25.0567,106.1740
138B,5,5,24,18.0575,18.0433,22.1181,22.9727,25.0910,106.2827
138B,6,6,24,18.0715,17.9946,21.9185,22.9433,25.1115,106.0394
138B,7,7,24,18.0627,18.0896,22.5400,23.0081,25.0560,106.7565
138B,8,8,24,18.1790,18.1825,22.5865,23.0735,25.2979,107.3194
138B,9,9,24,18.0865,18.2785,23.0002,23.0731,25.1902,107.6285
138B,10,10,24,18.1913,18.3413,23.1858,23.1723,25.1800,108.0706
138B,11,11,24,18.1504,18.1279,23.3069,23.1213,25.1781,107.8846
138B,12,12,24,18.2460,18.2440,23.5031,23.2946,25.2638,108.5515
138B,13,13,24,18.1640,18.1731,23.0742,23.1794,25.1408,107.7315
138B,14,14,24,18.3108,18.3550,23.5188,23.3733,25.3648,108.9227
138B,15,15,24,18.2871,18.3279,23.4992,23.3060,25.2477,108.6679
138B,16,16,24,18.2215,18.2733,23.4185,23.2515,25.3398,108.5046
138B,17,17,24,18.1758,18.1671,22.8590,23.2079,25.1621,107.5719
138B,18,18,24,18.1221,18.1879,22.7592,23.0750,25.0869,107.2310
138B,19,19,24,18.0960,18.0908,23.0235,23.0679,25.0729,107.3513
138B,20,20,24,18.0940,18.0446,22.9885,23.0550,25.0829,107.2650
138B,21,21,24,18.0960,18.1373,23.2446,22.9790,25.0381,107.4950
138B,22,22,24,18.1094,18.0979,22.9383,23.0263,25.0267,107.1985
138B,23,23,24,18.1775,18.2092,23.0529,23.1935,25.1019,107.7350
138B,24,24,24,18.1335,18.1646,23.2175,23.1002,25.1090,107.7248
138B,25,25,24,17.9775,18.0969,23.1796,22.9185,24.9642,107.1367
138B,26,26,24,18.0075,17.9792,23.2758,23.0152,24.9119,107.1896
138B,27,27,24,18.1098,18.1125,23.3548,23.1446,25.0744,107.7960
138B,28,28,24,18.1902,18.1765,23.3658,23.1888,25.1515,108.0727
138B,29,29,24,18.1604,18.1496,23.5248,23.1381,25.1002,108.0731
138B,30,30,24,18.1283,18.1231,24.0544,23.0796,25.0948,108.4802
138B,31,31,24,18.1319,18.1946,23.8523,23.1090,25.1190,108.4067
138B,32,32,24,18.1508,18.2592,23.7390,23.2388,25.2023,108.5900
138B,33,33,24,18.0558,18.1783,23.6569,23.2340,25.0938,108.2188
138B,34,34,24,18.1556,18.2013,23.8108,23.2138,25.1765,108.5579
138B,35,35,24,18.1085,18.1679,23.6260,23.1242,25.1125,108.1392
138B,36,36,24,18.1465,18.1646,23.6319,23.1365,25.0694,108.1488
138B,37,37,24,18.1523,18.2085,24.2633,23.2225,25.1881,109.0348
138B,38,38,24,18.1271,18.1377,24.4344,23.1023,25.1073,108.9088
138B,39,39,24,18.0650,18.1308,24.1665,23.0415,25.1117,108.5154
138B,40,40,24,18.1563,18.3010,24.4973,23.1204,25.2096,109.2846
138B,41,41,24,18.2523,18.3358,24.4163,23.3406,25.2525,109.5975
138B,42,42,24,18.2635,18.2756,24.6056,23.2815,25.2419,109.6681
138B,43,43,24,18.2229,18.2565,24.5585,23.2444,25.3108,109.5931
138B,44,44,24,18.4092,18.4888,24.8844,23.4742,25.4335,110.6900
138B,45,45,24,18.3998,18.4271,24.4771,23.4331,25.4525,110.1896
138B,46,46,24,18.3233,18.3400,23.8204,23.3060,25.3152,109.1050
138B,47,47,24,18.2585,18.3538,23.7048,23.3092,25.3071,108.9333
138B,48,48,24,18.2879,18.2781,23.6496,23.3098,25.3092,108.8346
138B,49,49,9,18.3189,18.3694,23.9450,23.3928,25.3933,109.4194
139A,1,50,8,5.2931,5.2006,6.9469,6.8475,7.4444,31.7325
139A,2,51,24,17.9554,17.9506,22.5175,22.8456,24.7823,106.0515
139A,3,52,24,18.3754,18.3533,23.2496,23.3375,25.3523,108.6681
139A,4,53,24,18.3458,18.3360,23.9098,23.3273,25.3154,109.2344
139A,5,54,24,18.2538,18.2658,24.1850,23.2923,25.2388,109.2356
139A,6,55,24,18.4325,18.4281,24.0956,23.4548,25.4833,109.8944
139A,7,56,24,18.2798,18.3544,23.9396,23.4002,25.3860,109.3600
139A,8,57,24,18.3854,18.4017,24.4523,23.4898,25.3644,110.0935
139A,9,58,24,18.4304,18.4415,24.2800,23.4581,25.4402,110.0502
139A,10,59,24,18.3721,18.4100,24.0260,23.3967,25.3563,109.5610
139A,11,60,24,18.4225,18.4183,23.9127,23.4188,25.4223,109.5946
139A,12,61,24,18.4060,18.4146,23.9465,23.4575,25.4521,109.6767
139A,13,62,24,18.3525,18.4129,23.9973,23.4819,25.4563,109.7008
139A,14,63,24,18.2963,18.3817,23.7613,23.3221,25.3869,109.1481
139A,15,64,24,18.3098,18.3492,24.3242,23.4163,25.3742,109.7735
139A,16,65,24,18.3119,18.3756,24.2692,23.3377,25.4508,109.7452
139A,17,66,24,18.3838,18.3167,24.1610,23.3829,25.4217,109.6660
139A,18,67,24,18.3915,18.3792,24.0321,23.4060,25.4238,109.6325
139A,19,68,24,18.3573,18.4571,24.2404,23.4448,25.4358,109.9354
139A,20,69,24,18.4040,18.3946,24.6627,23.4963,25.4242,110.3817
139A,21,70,24,18.4525,18.4865,24.6160,23.5494,25.4290,110.5333
139A,22,71,24,18.4363,18.5342,24.2560,23.4567,25.4927,110.1758
139A,23,72,24,6.1640,6.1769,8.0715,7.8121,8.5281,36.7525
139A,24,73,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0005
139A,25,74,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0005
139A,26,75,24,15.8846,15.8833,21.8650,20.2838,21.9600,95.8767
139A,27,76,24,18.3881,18.4083,24.2977,23.4069,25.3813,109.8823
139A,28,77,24,18.2469,18.2652,24.1023,23.2513,25.2792,109.1448
139A,29,78,24,18.3077,18.3821,24.4958,23.4150,25.2890,109.8896
139A,30,79,24,18.2383,18.3140,24.1138,23.2808,25.2821,109.2290
139A,31,80,24,18.2192,18.2644,23.9813,23.2517,25.2254,108.9419
139A,32,81,24,18.3119,18.3594,24.1031,23.2656,25.3302,109.3702
139A,33,82,24,18.4319,18.4908,24.2250,23.4069,25.4558,110.0104
139A,34,83,24,18.5442,18.6229,24.3681,23.5771,25.6425,110.7548
139A,35,84,24,18.5060,18.5596,23.9729,23.6021,25.5502,110.1908
139A,36,85,24,18.5156,18.5700,23.8919,23.6188,25.4623,110.0585
139A,37,86,24,18.4356,18.4988,23.9731,23.5583,25.4594,109.9252
139A,38,87,24,18.4575,18.5390,23.7142,23.4931,25.5000,109.7038
139A,39,88,24,18.3906,18.5252,23.9177,23.4029,25.3702,109.6067
139A,40,89,24,18.4783,18.5304,24.0100,23.6606,25.5633,110.2427
139A,41,90,24,18.3835,18.3802,23.7308,23.5360,25.3527,109.3833
139A,42,91,24,18.3392,18.3742,23.8146,23.3779,25.2656,109.1715
139A,43,92,24,18.4340,18.4377,23.6573,23.4281,25.3613,109.3183
139A,44,93,24,18.4104,18.4033,23.5433,23.4192,25.3815,109.1577
139A,45,94,24,18.3885,18.4310,23.9563,23.4213,25.3644,109.5615
139A,46,95,24,18.4013,18.4285,23.9265,23.4502,25.3371,109.5435
139A,47,96,24,18.4767,18.5117,24.4106,23.5385,25.5038,110.4413
139A,48,97,24,18.4779,18.4783,24.3356,23.5817,25.4742,110.3477
139A,49,98,24,18.4581,18.4890,24.5452,23.5529,25.4765,110.5217
139A,50,99,24,18.4698,18.6375,24.9296,23.5473,25.4479,111.0321
139A,51,100,24,18.5219,18.6910,25.1260,23.5867,25.5373,111.4629
139A,52,101,24,18.5108,18.6015,24.9300,23.6013,25.5723,111.2158
139A,53,102,24,18.4683,18.4921,24.4213,23.5273,25.4829,110.3919
139A,54,103,24,18.4819,18.5708,24.3196,23.6221,25.5025,110.4969
